top_250_film,top_250_film_rating,Year,Time,description,director,writers,stars
26. Hayat Güzeldir,8.6,1997,1h 56m,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"Vincenzo Cerami,Roberto Benigni","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini"
27. Yeşil Yol,8.6,1999,3h 9m,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",Frank Darabont,"Stephen King,Frank Darabont","Tom Hanks,Michael Clarke,David Morse"
28. Terminatör 2: Mahşer Günü,8.6,1991,2h 17m,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",James Cameron,"James Cameron,William Wisher","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong"
29. Yıldız Savaşları: Bölüm IV - Yeni Bir Umut,8.6,1977,2h 1m,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher"
30. Geleceğe Dönüş,8.5,1985,1h 56m,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,"Robert Zemeckis,Bob Gale","Michael J,Christopher Lloyd,Lea Thompson"
31. Ruhların Kaçışı,8.6,2001,2h 4m,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Hayao Miyazaki,"Daveigh Chase,Suzanne Pleshette,Miyu Irino"
32. Piyanist,8.5,2002,2h 30m,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Roman Polanski,"Ronald Harwood,Wladyslaw Szpilman","Adrien Brody,Thomas Kretschmann,Frank Finlay"
33. Parazit,8.5,2019,2h 12m,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"Bong Joon Ho,Han Jin","Song Kang,Lee Sun,Cho Yeo"
34. Sapık,8.5,1960,1h 49m,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,Alfred Hitchcock,"Joseph Stefano,Robert Bloch","Anthony Perkins,Janet Leigh,Vera Miles"
35. Gladyatör,8.5,2000,2h 35m,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"David Franzoni,John Logan,William Nicholson","Russell Crowe,Joaquin Phoenix,Connie Nielsen"
36. Aslan Kral,8.5,1994,1h 28m,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,"Irene Mecchi,Jonathan Roberts,Linda Woolverton","Matthew Broderick,Jeremy Irons,James Earl"
37. Örümcek-Adam: Örümcek Evrenine Geçiş,8.6,2023,2h 20m,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",Joaquim Dos Santos,"Phil Lord,Christopher Miller,Dave Callaham","Shameik Moore,Hailee Steinfeld,Brian Tyree"
38. Köstebek,8.5,2006,2h 31m,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"William Monahan,Alan Mak,Felix Chong","Leonardo Di,Matt Damon,Jack Nicholson"
39. Whiplash,8.5,2014,1h 46m,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Damien Chazelle,"Miles Teller,Melissa Benoist"
